case_criminal_id,case_id,criminal_id,role_in_case
242,121,1149,Complainant
243,122,1961,Accused
244,122,1434,Informant
245,122,4897,Co-accused
246,122,981,Suspect
247,123,2430,Informant
248,123,3878,Victim
249,124,2128,Suspect
250,125,2388,Victim
251,126,2398,Witness
252,126,3281,Witness
253,127,3850,Co-accused
254,127,3336,Victim
255,128,4372,Informant
256,128,2602,Expert Witness
257,129,1541,Informant
258,129,2330,Co-accused
259,129,3846,Informant
260,129,3076,Accused
261,130,2756,Co-accused
262,130,120,Expert Witness
263,130,4544,Co-accused
264,131,3973,Complainant
265,132,4092,Victim
266,132,2877,Accused
267,132,3471,Informant
268,133,4833,Witness
269,134,1557,Victim
270,134,2800,Co-accused
271,134,1510,Suspect
272,135,3783,Complainant
273,135,590,Co-accused
274,135,2481,Victim
275,136,3697,Suspect
276,136,1169,Witness
277,136,2370,Suspect
278,137,3796,Complainant
279,137,3499,Complainant
280,138,3536,Suspect
281,138,1004,Informant
282,139,562,Witness
283,140,1532,Witness
284,140,1493,Expert Witness
285,141,1845,Co-accused
286,141,292,Suspect
287,141,4308,Accused
288,141,4804,Accused
289,141,3222,Expert Witness
290,142,3551,Suspect
291,143,1924,Complainant
292,143,1259,Co-accused
293,143,225,Witness
294,144,4801,Informant
295,145,2462,Co-accused
296,145,1795,Complainant
297,146,4593,Expert Witness
298,146,775,Victim
299,147,4697,Informant
300,147,4976,Witness
301,147,1729,Complainant
302,147,3546,Expert Witness
303,148,2182,Suspect
304,149,2538,Co-accused
305,150,520,Witness
306,150,2495,Complainant
307,151,4643,Informant
308,152,4022,Expert Witness
309,153,2204,Expert Witness
310,154,4087,Expert Witness
311,154,4814,Co-accused
312,155,3400,Co-accused
313,155,4851,Victim
314,156,1312,Victim
315,157,1523,Complainant
316,158,4878,Expert Witness
317,158,3415,Co-accused
318,159,2727,Expert Witness
319,160,4787,Complainant
320,160,3565,Co-accused
321,161,902,Accused
322,162,4246,Victim
323,162,1835,Suspect
324,162,56,Victim
325,162,3914,Co-accused
326,163,3736,Co-accused
327,163,1934,Expert Witness
328,163,1498,Victim
329,164,4129,Accused
330,164,2667,Co-accused
331,165,1643,Witness
332,166,506,Suspect
333,167,2318,Co-accused
334,168,4235,Witness
335,168,4645,Suspect
336,168,2688,Complainant
337,169,2322,Witness
338,169,3410,Co-accused
339,169,134,Complainant
340,170,1300,Accused
341,170,3147,Suspect
342,170,876,Co-accused
343,171,3741,Informant
344,171,556,Co-accused
345,172,4640,Witness
346,172,4449,Accused
347,172,4343,Accused
348,172,2307,Victim
349,172,4569,Expert Witness
350,173,3178,Co-accused
351,174,226,Informant
352,175,4979,Co-accused
353,176,723,Expert Witness
354,176,705,Accused
355,176,1833,Expert Witness
356,177,3003,Witness
357,178,1736,Accused
358,178,962,Victim
359,178,1712,Witness
360,178,4396,Suspect
361,179,3095,Co-accused
362,179,1707,Accused
363,179,1382,Expert Witness
364,180,1753,Witness
365,181,3520,Informant
366,182,2436,Suspect
367,182,2046,Suspect
368,182,3643,Suspect
369,182,2301,Victim
370,183,2254,Accused
371,183,143,Victim
372,184,1995,Complainant
373,184,2057,Witness
374,184,3655,Co-accused
375,185,1999,Complainant
376,186,867,Complainant
377,187,4650,Witness
378,187,871,Suspect
379,188,4308,Witness
380,188,2298,Complainant
381,188,308,Accused
382,188,3619,Co-accused
383,188,4865,Victim
384,189,2918,Suspect
385,190,3047,Accused
386,190,4817,Accused
387,190,3596,Witness
388,191,4033,Victim
389,192,1725,Victim
390,192,1071,Informant
391,193,3542,Suspect
392,194,4939,Witness
393,194,4056,Victim
394,195,2829,Victim
395,196,2262,Witness
396,197,4584,Accused
397,197,3613,Informant
398,198,3793,Witness
399,198,4209,Suspect
400,199,2588,Complainant
401,199,1126,Expert Witness
402,200,732,Informant
403,200,1517,Co-accused
404,201,2972,Suspect
405,202,1287,Victim
406,203,1022,Accused
407,204,3221,Accused
408,205,1649,Informant
409,205,4550,Informant
410,205,173,Complainant
411,206,4094,Informant
412,206,1465,Victim
413,207,2181,Co-accused
414,208,1209,Victim
415,209,2955,Complainant
416,210,2022,Victim
417,211,3610,Accused
418,211,1863,Accused
419,211,2098,Informant
420,211,1752,Expert Witness
421,212,3295,Victim
422,213,3853,Complainant
423,213,2238,Complainant
424,213,3301,Co-accused
425,214,4561,Expert Witness
426,215,3407,Co-accused
427,215,2191,Complainant
428,216,4669,Suspect
429,216,2452,Complainant
430,217,3887,Suspect
431,218,3316,Complainant
432,219,1978,Victim
433,220,3457,Informant
434,220,1355,Complainant
435,220,2907,Co-accused
436,221,351,Suspect
437,221,2801,Informant
438,221,2982,Complainant
439,222,2486,Informant
440,223,1215,Victim
441,223,1697,Informant
442,223,3927,Informant
443,224,4471,Suspect
444,224,4823,Complainant
445,224,1271,Accused
446,225,4568,Witness
447,226,3814,Co-accused
448,227,1394,Witness
449,227,1901,Expert Witness
450,227,141,Expert Witness
451,228,1070,Suspect
452,228,2138,Expert Witness
453,228,1963,Co-accused
454,228,1866,Complainant
455,229,2996,Complainant
456,229,4683,Expert Witness
457,230,618,Informant
458,230,1384,Accused
459,231,3131,Co-accused
460,232,2194,Witness
461,233,2346,Witness
462,234,1728,Complainant
463,234,3194,Expert Witness
464,234,4295,Suspect
465,234,3613,Expert Witness
466,235,4094,Suspect
467,235,2416,Co-accused
468,236,3728,Suspect
469,237,2875,Victim
470,237,3990,Accused
471,237,1307,Co-accused
472,237,4089,Complainant
473,237,1281,Witness
474,238,4287,Suspect
475,239,2592,Informant
476,240,2514,Accused
477,240,617,Accused
478,241,4672,Accused
479,241,4730,Accused
480,242,1889,Complainant
481,243,2470,Expert Witness
482,244,4102,Informant
483,244,1569,Complainant
484,245,1509,Victim
485,245,2944,Witness
486,246,169,Witness
487,246,804,Expert Witness
488,247,4512,Accused
489,247,4049,Suspect
490,247,2557,Suspect
491,248,2897,Informant
492,248,3529,Complainant
493,248,4232,Expert Witness
494,248,3766,Accused
495,248,1199,Suspect
496,249,3533,Witness
497,249,380,Suspect
498,249,2580,Accused
499,249,2939,Expert Witness
500,250,2827,Suspect
501,251,1247,Co-accused
502,251,1562,Accused
503,251,2918,Informant
504,251,4554,Co-accused
505,252,1340,Accused
506,253,4228,Expert Witness
507,254,4832,Witness
508,254,2459,Informant
509,254,2790,Informant
510,254,2070,Co-accused
511,254,1120,Informant
512,255,4201,Victim
513,255,1268,Suspect
514,255,1336,Accused
515,255,2640,Witness
516,255,2341,Suspect
517,256,2757,Co-accused
518,257,1036,Informant
519,257,1096,Complainant
520,258,3374,Expert Witness
521,259,1931,Informant
522,259,4671,Accused
523,259,1229,Complainant
524,260,4057,Accused
525,260,4875,Accused
526,260,3714,Accused
527,260,1265,Complainant
528,261,2271,Victim
529,261,3456,Expert Witness
530,261,1279,Co-accused
531,262,1370,Co-accused
532,262,1903,Informant
533,263,1221,Co-accused
534,264,2152,Co-accused
535,264,1900,Witness
536,264,3812,Victim
537,264,1541,Complainant
538,264,1570,Expert Witness
539,265,2253,Expert Witness
540,265,2493,Co-accused
541,266,3753,Complainant
542,266,3748,Victim
543,266,1275,Complainant
544,267,2529,Complainant
545,267,1715,Informant
546,267,1528,Complainant
547,268,1418,Witness
548,268,572,Co-accused
549,269,3133,Suspect
550,269,4695,Suspect
551,270,2099,Co-accused
552,270,3889,Complainant
553,270,364,Complainant
554,271,135,Victim
555,271,2560,Suspect
556,271,4230,Suspect
557,271,2016,Accused
558,272,2518,Expert Witness
559,272,538,Suspect
560,272,247,Co-accused
561,273,158,Co-accused
562,273,4519,Complainant
563,274,2570,Accused
564,274,403,Witness
565,274,3915,Complainant
566,275,4527,Suspect
567,276,4348,Accused
568,277,925,Suspect
569,278,2540,Co-accused
570,278,902,Complainant
571,279,3950,Co-accused
572,280,2515,Suspect
573,281,3407,Victim
574,282,671,Complainant
575,282,4891,Co-accused
576,282,365,Co-accused
577,283,1199,Suspect
578,283,3558,Victim
579,284,1991,Suspect
580,284,1715,Victim
581,284,3484,Informant
582,284,2022,Informant
583,284,1065,Co-accused
584,285,3530,Witness
585,285,3415,Suspect
586,285,3328,Accused
587,286,1182,Suspect
588,287,1015,Accused
589,287,3096,Accused
590,288,1283,Co-accused
591,289,4457,Victim
592,289,1728,Accused
593,290,3837,Expert Witness
594,290,3578,Co-accused
595,291,2632,Complainant
596,291,3756,Complainant
597,292,1655,Expert Witness
598,293,3439,Co-accused
599,294,3192,Co-accused
600,295,1911,Co-accused
601,295,1807,Expert Witness
602,295,4882,Suspect
603,296,2805,Informant
604,296,867,Victim
605,297,1276,Expert Witness
606,297,2396,Co-accused
607,298,3521,Co-accused
608,299,4739,Complainant
609,299,3180,Informant
610,299,4196,Accused
611,300,2606,Informant
612,300,3307,Co-accused
613,300,460,Witness
614,301,345,Complainant
615,302,4953,Witness
616,302,265,Accused
617,302,2814,Victim
618,303,4498,Accused
619,304,2322,Informant
620,305,3491,Co-accused
621,305,2404,Accused
622,306,2508,Victim
623,306,2914,Expert Witness
624,307,601,Co-accused
625,308,703,Informant
626,308,2019,Victim
627,309,2902,Expert Witness
628,310,4488,Suspect
629,311,6,Victim
630,311,1585,Complainant
631,311,710,Co-accused
632,312,4570,Expert Witness
633,313,3165,Witness
634,313,849,Complainant
635,313,3435,Informant
636,313,4805,Co-accused
637,313,1780,Expert Witness
638,314,4732,Witness
639,314,2305,Expert Witness
640,314,4468,Victim
641,315,625,Witness
642,316,1009,Victim
643,316,550,Witness
644,316,2962,Suspect
645,317,2595,Suspect
646,317,2078,Victim
647,318,217,Complainant
648,319,3371,Informant
649,319,693,Co-accused
650,319,3646,Suspect
651,320,3854,Expert Witness
652,321,1093,Complainant
653,321,3213,Co-accused
654,321,1504,Witness
655,322,261,Suspect
656,322,893,Accused
657,322,4347,Informant
658,323,1384,Suspect
659,323,918,Informant
660,323,230,Informant
661,323,2450,Suspect
662,323,1236,Accused
663,324,3590,Co-accused
664,325,2948,Victim
665,326,1366,Informant
666,327,3915,Complainant
667,327,4276,Informant
668,327,4714,Suspect
669,328,4985,Expert Witness
670,328,4546,Suspect
671,328,217,Victim
672,329,4745,Expert Witness
673,329,1962,Co-accused
674,330,2400,Victim
675,330,4200,Complainant
676,331,3652,Complainant
677,332,2403,Victim
678,333,4358,Co-accused
679,334,803,Accused
680,335,2171,Complainant
681,335,3812,Complainant
682,335,682,Witness
683,336,2973,Suspect
684,336,3242,Co-accused
685,336,599,Complainant
686,336,4126,Witness
687,337,4973,Co-accused
688,337,4188,Co-accused
689,337,3844,Witness
690,338,2325,Co-accused
691,338,801,Informant
692,338,2631,Co-accused
693,338,3201,Informant
694,339,2656,Informant
695,340,933,Co-accused
696,340,4843,Co-accused
697,341,2548,Informant
698,342,4380,Accused
699,342,1598,Accused
700,343,4583,Victim
701,343,2744,Victim
702,343,4887,Co-accused
703,344,49,Accused
704,344,1357,Suspect
705,345,2135,Complainant
706,345,4712,Suspect
707,346,2707,Witness
708,347,2516,Co-accused
709,347,1954,Witness
710,348,2613,Expert Witness
711,348,4640,Witness
712,348,225,Accused
713,349,1524,Accused
714,349,3143,Witness
715,349,1467,Informant
716,349,1415,Informant
717,350,1377,Complainant
718,351,4565,Witness
719,352,2495,Witness
720,352,3053,Accused
721,352,1921,Accused
722,353,2,Expert Witness
723,354,3634,Suspect
724,354,3482,Co-accused
725,355,911,Accused
726,355,2369,Victim
727,356,1034,Accused
728,356,618,Co-accused
729,357,414,Expert Witness
730,357,1335,Expert Witness
731,357,4928,Suspect
732,358,3001,Informant
733,359,3551,Expert Witness
734,360,1264,Co-accused
735,360,2927,Witness
736,360,3257,Co-accused
737,360,2678,Expert Witness
738,360,2304,Co-accused
739,361,1494,Suspect
740,362,1013,Complainant
741,362,2466,Victim
742,362,465,Accused
743,362,588,Suspect
744,363,3633,Complainant
745,363,2640,Co-accused
746,364,89,Co-accused
747,365,3850,Informant
748,366,3107,Accused
749,367,2661,Co-accused
750,367,2842,Co-accused
751,368,1820,Complainant
752,369,4450,Victim
753,370,4274,Informant
754,370,3214,Co-accused
755,371,2615,Co-accused
756,371,1944,Co-accused
757,371,2206,Accused
758,372,2537,Complainant
759,372,2306,Informant
760,373,1783,Expert Witness
761,374,476,Accused
762,375,330,Victim
763,375,4104,Suspect
764,376,2500,Complainant
765,376,4269,Witness
766,376,4012,Accused
767,377,2344,Witness
768,378,2485,Victim
769,378,3118,Informant
770,379,3137,Witness
771,379,2257,Witness
772,379,1585,Victim
773,379,1450,Accused
774,380,3408,Complainant
775,381,4614,Accused
776,381,942,Witness
777,382,2569,Complainant
778,383,3236,Victim
779,383,3885,Suspect
780,384,295,Co-accused
781,384,4903,Expert Witness
782,385,1798,Expert Witness
783,385,1893,Informant
784,385,2547,Expert Witness
785,386,3325,Victim
786,386,1171,Witness
787,387,2414,Victim
788,387,1139,Informant
789,387,830,Accused
790,388,3650,Complainant
791,388,3304,Accused
792,388,2964,Informant
793,389,4571,Victim
794,389,3720,Suspect
795,390,3555,Suspect
796,390,2653,Co-accused
797,391,4344,Expert Witness
798,391,4137,Co-accused
799,392,130,Complainant
800,393,1268,Victim
801,394,612,Complainant
802,395,810,Co-accused
803,396,2346,Witness
804,396,2288,Expert Witness
805,396,187,Accused
806,397,4076,Informant
807,397,1633,Co-accused
808,397,2551,Expert Witness
809,398,2092,Suspect
810,398,4777,Complainant
811,399,4975,Witness
812,399,1430,Expert Witness
813,400,596,Complainant
814,400,655,Suspect
815,401,3248,Accused
816,401,3619,Witness
817,401,324,Co-accused
818,402,340,Complainant
819,403,3945,Expert Witness
820,404,1128,Suspect
821,405,3678,Suspect
822,405,1257,Expert Witness
823,405,4233,Victim
824,406,873,Victim
825,406,4613,Witness
826,407,3158,Victim
827,407,4349,Witness
828,408,351,Co-accused
829,409,4243,Co-accused
830,410,1078,Complainant
831,411,1992,Suspect
832,411,1919,Expert Witness
833,412,1649,Informant
834,412,4341,Informant
835,412,819,Informant
836,413,4059,Witness
837,414,3451,Expert Witness
838,414,341,Accused
839,415,3558,Informant
840,416,776,Co-accused
841,417,4875,Suspect
842,418,18,Witness
843,418,2049,Witness
844,418,3686,Witness
845,419,4118,Complainant
846,419,2011,Complainant
847,419,4723,Expert Witness
848,419,340,Victim
849,420,2923,Witness
850,420,3501,Informant
851,421,3698,Accused
852,421,1384,Expert Witness
853,422,2696,Informant
854,423,208,Complainant
855,423,4115,Victim
856,423,2830,Victim
857,424,118,Informant
858,425,2348,Complainant
859,426,868,Informant
860,426,657,Accused
861,426,4544,Suspect
862,426,4182,Victim
863,427,2073,Informant
864,427,1557,Expert Witness
865,427,2707,Accused
866,428,565,Accused
867,429,1001,Expert Witness
868,429,4036,Victim
869,429,3960,Expert Witness
870,430,2448,Informant
871,430,763,Complainant
872,430,3571,Suspect
873,431,395,Victim
874,431,2970,Co-accused
875,432,904,Informant
876,433,1350,Victim
877,434,4729,Accused
878,435,2413,Expert Witness
879,435,4897,Victim
880,435,4848,Complainant
881,436,1702,Complainant
882,437,3171,Victim
883,437,4861,Suspect
884,438,2313,Complainant
885,439,1934,Witness
886,440,3629,Informant
887,440,701,Co-accused
888,441,336,Victim
889,441,616,Informant
890,442,3689,Co-accused
891,443,912,Co-accused
892,444,3140,Complainant
893,445,1732,Accused
894,446,552,Witness
895,447,4648,Suspect
896,447,3561,Informant
897,448,2458,Co-accused
898,448,2699,Informant
899,448,1123,Witness
900,449,2392,Complainant
901,449,2321,Accused
902,450,2149,Co-accused
903,450,1919,Informant
904,451,3898,Suspect
905,451,1667,Suspect
906,452,4070,Informant
907,452,650,Suspect
908,453,3588,Complainant
909,454,1421,Victim
910,455,1437,Complainant
911,456,4173,Expert Witness
912,457,959,Expert Witness
913,457,4461,Witness
914,457,1354,Co-accused
915,458,1243,Victim
916,459,1196,Witness
917,460,409,Suspect
918,461,4218,Expert Witness
919,462,1166,Witness
920,462,3769,Co-accused
921,463,1024,Co-accused
922,463,3400,Witness
923,464,2683,Co-accused
924,464,544,Co-accused
925,465,3672,Expert Witness
926,465,4462,Co-accused
927,466,1811,Witness
928,467,4996,Witness
929,467,1604,Suspect
930,468,4147,Informant
931,469,2564,Accused
932,470,3742,Witness
933,470,3387,Accused
934,470,311,Complainant
935,471,1593,Complainant
936,471,2245,Victim
937,472,1937,Victim
938,473,4722,Complainant
939,473,4974,Victim
940,474,2072,Informant
941,474,4031,Co-accused
942,475,1184,Suspect
943,475,4333,Co-accused
944,476,2434,Co-accused
945,476,3216,Expert Witness
946,476,3342,Suspect
947,476,3183,Witness
948,476,1149,Witness
949,477,959,Witness
950,478,1504,Suspect
951,479,1069,Co-accused
952,479,2475,Co-accused
953,479,4224,Informant
954,480,3577,Accused
955,480,664,Witness
956,481,2107,Accused
957,482,1975,Expert Witness
958,482,742,Complainant
959,483,3969,Expert Witness
960,483,2500,Suspect
961,483,4672,Co-accused
962,483,3222,Expert Witness
963,484,3747,Accused
964,484,2162,Informant
965,484,4682,Witness
966,484,2797,Witness
967,485,3704,Accused
968,485,3840,Witness
969,486,2127,Co-accused
970,487,2579,Co-accused
971,488,3801,Victim
972,488,3949,Victim
973,488,4804,Accused
974,488,3375,Suspect
975,489,4238,Witness
976,489,3522,Suspect
977,489,3993,Accused
978,490,1554,Co-accused
979,490,882,Witness
980,490,2750,Co-accused
981,490,284,Expert Witness
982,491,2264,Victim
983,492,2488,Victim
984,493,950,Witness
985,493,4997,Victim
986,494,3402,Suspect
987,495,4623,Co-accused
988,495,84,Accused
989,495,2924,Suspect
990,496,1340,Informant
991,497,61,Accused
992,498,4573,Expert Witness
993,498,1979,Informant
994,498,2101,Co-accused
995,498,2434,Complainant
996,499,3469,Complainant
997,499,4368,Informant
998,500,226,Witness
999,501,2299,Informant
1000,501,4525,Suspect
1001,502,2446,Co-accused
1002,503,274,Witness
1003,503,2387,Co-accused
1004,503,4696,Co-accused
1005,503,4522,Complainant
1006,504,815,Witness
1007,504,169,Informant
1008,505,605,Victim
1009,506,1649,Witness
1010,506,3114,Witness
1011,507,4522,Victim
1012,507,800,Victim
1013,507,1138,Expert Witness
1014,508,447,Victim
1015,509,323,Informant
1016,510,1159,Expert Witness
1017,510,2725,Informant
1018,511,4710,Co-accused
1019,511,2616,Victim
1020,512,4723,Informant
1021,512,570,Complainant
1022,513,3082,Expert Witness
1023,513,1936,Complainant
1024,513,3247,Co-accused
1025,514,3768,Co-accused
1026,515,2712,Accused
1027,515,1149,Informant
1028,516,4981,Accused
1029,516,343,Informant
1030,517,4385,Co-accused
1031,517,4571,Expert Witness
1032,517,237,Co-accused
1033,518,1190,Co-accused
1034,518,1698,Complainant
1035,519,4226,Complainant
1036,520,3215,Witness
1037,520,2023,Suspect
1038,521,3287,Complainant
1039,522,49,Expert Witness
1040,523,355,Complainant
1041,523,2611,Informant
1042,523,4531,Expert Witness
1043,524,3414,Co-accused
1044,524,909,Expert Witness
1045,525,916,Suspect
1046,525,1757,Complainant
1047,525,1520,Complainant
1048,525,479,Complainant
1049,525,1513,Informant
1050,526,1457,Victim
1051,526,67,Co-accused
1052,527,1837,Co-accused
1053,527,3862,Victim
1054,528,2366,Expert Witness
1055,528,929,Complainant
1056,528,1939,Co-accused
1057,529,938,Expert Witness
1058,529,3698,Accused
1059,529,1723,Accused
1060,530,3723,Informant
1061,530,631,Witness
1062,531,4717,Complainant
1063,531,3127,Co-accused
1064,532,1718,Co-accused
1065,532,2118,Complainant
1066,533,4593,Accused
1067,533,1356,Informant
1068,533,2025,Complainant
1069,533,369,Witness
1070,534,2214,Complainant
1071,534,7,Accused
1072,534,4429,Victim
1073,534,2506,Co-accused
1074,535,1594,Co-accused
1075,536,1027,Co-accused
1076,536,618,Victim
1077,536,4286,Co-accused
1078,537,2166,Accused
1079,538,714,Co-accused
1080,538,890,Victim
1081,538,4587,Victim
1082,539,4307,Co-accused
1083,539,554,Witness
1084,540,3802,Complainant
1085,540,927,Expert Witness
1086,541,4371,Suspect
1087,541,4551,Informant
1088,542,1545,Accused
1089,542,1025,Accused
1090,543,1055,Expert Witness
1091,544,544,Witness
1092,544,2623,Accused
1093,545,2741,Suspect
1094,545,1549,Witness
1095,546,2637,Co-accused
1096,546,1442,Co-accused
1097,547,3685,Informant
1098,548,1575,Complainant
1099,549,4663,Co-accused
1100,549,1326,Accused
1101,550,2689,Co-accused
1102,551,3295,Informant
1103,551,3217,Suspect
1104,551,15,Victim
1105,552,2265,Complainant
1106,552,2221,Co-accused
1107,553,4735,Co-accused
1108,553,3183,Informant
1109,553,1576,Complainant
1110,554,3361,Complainant
1111,554,539,Victim
1112,555,4857,Suspect
1113,555,4530,Expert Witness
1114,555,127,Complainant
1115,556,423,Co-accused
1116,557,1940,Complainant
1117,557,2342,Suspect
1118,557,3138,Informant
1119,557,223,Expert Witness
1120,557,1740,Accused
1121,558,3023,Suspect
1122,558,2808,Victim
1123,558,4932,Suspect
1124,559,524,Expert Witness
1125,559,4172,Complainant
1126,560,553,Witness
1127,561,1161,Co-accused
1128,561,1479,Victim
1129,562,1269,Complainant
1130,562,1278,Accused
1131,563,1167,Victim
1132,563,3356,Expert Witness
1133,563,1871,Informant
1134,564,3275,Informant
1135,565,728,Co-accused
1136,565,1897,Informant
1137,565,2206,Witness
1138,566,1209,Accused
1139,567,3721,Informant
1140,567,2783,Victim
1141,567,2172,Suspect
1142,567,970,Complainant
1143,568,4854,Victim
1144,568,1770,Expert Witness
1145,569,4910,Informant
1146,570,4740,Victim
1147,571,209,Suspect
1148,572,3867,Informant
1149,572,3567,Co-accused
1150,572,3658,Co-accused
1151,573,1934,Expert Witness
1152,574,1821,Informant
1153,574,2373,Suspect
1154,574,1796,Co-accused
1155,574,4732,Victim
1156,575,2955,Suspect
1157,576,4245,Suspect
1158,576,2610,Witness
1159,576,3732,Suspect
1160,577,3932,Victim
1161,577,534,Victim
1162,577,719,Accused
1163,578,2720,Co-accused
1164,578,3510,Accused
1165,579,4709,Expert Witness
1166,579,1120,Victim
1167,580,2083,Expert Witness
1168,580,2890,Complainant
1169,581,4142,Informant
1170,581,1683,Witness
1171,582,4393,Witness
1172,583,1323,Suspect
1173,583,2820,Complainant
1174,584,200,Accused
