case_id,fir_id,court_id,start_date,status,verdict
282,282,36,15-04-2025,Closed,Fine Imposed
283,283,70,09-07-2024,Trial,Community Service
284,284,51,25-03-2022,Investigation,Pending
285,285,41,05-09-2023,Pending,Fine Imposed
286,286,75,18-09-2025,Closed,
287,287,4,01-08-2022,Appeal,Pending
288,288,58,06-10-2022,Transferred,Death Sentence
289,289,32,04-05-2024,Trial,Community Service
290,290,32,13-06-2023,Suspended,
291,291,70,09-09-2024,Closed,
292,292,46,14-10-2023,Investigation,Parole
293,293,18,20-08-2025,Transferred,Suspended Sentence
294,294,41,31-07-2025,Convicted,Parole
295,295,41,29-09-2023,Suspended,Life Imprisonment
296,296,60,02-08-2023,Transferred,Community Service
297,297,32,23-06-2023,Transferred,Case Dismissed
298,298,34,07-05-2025,Appeal,Acquitted
299,299,14,18-08-2025,Closed,Fine Imposed
300,300,66,18-03-2025,Closed,Bail Granted
301,301,8,27-04-2025,Transferred,Case Dismissed
302,302,23,03-03-2024,Transferred,
303,303,74,28-07-2025,Suspended,Parole
304,304,20,27-06-2024,Transferred,Suspended Sentence
305,305,33,27-05-2023,Suspended,
306,306,15,02-10-2025,Investigation,Death Sentence
307,307,45,29-05-2021,Transferred,Bail Granted
308,308,10,09-11-2024,Pending,Parole
309,309,4,12-05-2023,Appeal,Parole
310,310,68,21-08-2025,Transferred,
311,311,36,26-10-2021,Convicted,
312,312,13,03-02-2025,Investigation,
313,313,44,03-12-2024,Trial,Community Service
314,314,35,30-10-2022,Suspended,
315,315,13,19-06-2023,Closed,
316,316,41,30-05-2021,Acquitted,
317,317,43,09-02-2023,Appeal,Bail Granted
318,318,31,02-03-2024,Pending,Guilty
319,319,36,16-04-2024,Transferred,Compensation Ordered
320,320,13,29-12-2021,Closed,Suspended Sentence
321,321,46,21-03-2024,Closed,
322,322,18,02-05-2025,Acquitted,Acquitted
323,323,66,27-08-2024,Appeal,
324,324,64,17-09-2025,Trial,
325,325,12,10-04-2022,Acquitted,Death Sentence
326,326,16,30-03-2025,Trial,
327,327,74,30-09-2025,Convicted,Death Sentence
328,328,75,20-09-2023,Convicted,Compensation Ordered
329,329,49,18-03-2023,Trial,Compensation Ordered
330,330,60,30-03-2023,Pending,
331,331,42,24-02-2024,Convicted,Compensation Ordered
332,332,8,09-11-2023,Appeal,Suspended Sentence
333,333,59,05-08-2025,Appeal,Guilty
334,334,60,03-12-2023,Acquitted,Probation
335,335,61,07-04-2024,Suspended,Acquitted
336,336,64,24-11-2024,Pending,Case Dismissed
337,337,3,06-04-2022,Acquitted,Acquitted
338,338,34,20-06-2025,Acquitted,
339,339,64,17-04-2022,Transferred,
340,340,12,02-12-2020,Trial,Probation
341,341,24,26-12-2020,Pending,Case Dismissed
342,342,65,21-09-2021,Trial,
343,343,14,15-02-2022,Convicted,Life Imprisonment
344,344,71,26-11-2024,Investigation,Acquitted
345,345,33,08-03-2023,Transferred,Life Imprisonment
346,346,60,24-05-2023,Convicted,Death Sentence
347,347,50,22-05-2023,Closed,Compensation Ordered
348,348,5,22-01-2024,Pending,Bail Granted
349,349,33,28-09-2022,Appeal,Fine Imposed
350,350,12,01-07-2024,Pending,
351,351,12,08-05-2024,Closed,Pending
352,352,63,20-06-2024,Investigation,
353,353,1,06-10-2024,Appeal,
354,354,63,30-12-2020,Acquitted,Parole
355,355,15,27-01-2024,Trial,Death Sentence
356,356,25,29-09-2025,Transferred,Bail Granted
357,357,63,11-03-2024,Convicted,
358,358,49,04-01-2023,Pending,Probation
359,359,32,15-03-2025,Suspended,Bail Granted
360,360,25,11-05-2024,Investigation,Guilty
361,361,34,09-04-2024,Investigation,
362,362,20,25-07-2025,Suspended,
363,363,42,21-02-2025,Investigation,Death Sentence
364,364,39,01-10-2021,Convicted,Case Dismissed
365,365,16,26-05-2025,Appeal,Acquitted
366,366,21,24-01-2025,Convicted,Life Imprisonment
367,367,1,19-07-2024,Closed,
368,368,75,23-12-2022,Trial,Acquitted
369,369,5,26-11-2021,Transferred,
370,370,30,24-09-2025,Investigation,Life Imprisonment
371,371,67,09-05-2025,Closed,
372,372,62,14-04-2021,Investigation,Parole
373,373,33,16-01-2023,Acquitted,
374,374,49,06-06-2023,Transferred,Compensation Ordered
375,375,43,13-02-2022,Appeal,Community Service
376,376,43,05-07-2023,Appeal,
377,377,69,02-12-2024,Closed,Guilty
378,378,60,17-02-2022,Acquitted,Bail Granted
379,379,63,26-01-2023,Appeal,
380,380,42,08-11-2024,Appeal,Life Imprisonment
381,381,60,04-07-2021,Trial,
382,382,69,13-11-2023,Acquitted,Case Dismissed
383,383,11,12-04-2023,Transferred,Acquitted
384,384,34,14-04-2024,Acquitted,Community Service
385,385,33,29-06-2025,Convicted,Community Service
386,386,7,05-03-2025,Trial,
387,387,25,20-11-2021,Investigation,Probation
388,388,16,04-01-2024,Appeal,Probation
389,389,52,21-03-2023,Trial,
390,390,35,12-10-2024,Convicted,
391,391,4,20-11-2023,Closed,Guilty
392,392,37,20-03-2024,Convicted,
393,393,58,29-11-2023,Investigation,
394,394,33,25-09-2025,Appeal,
395,395,25,30-04-2024,Transferred,Compensation Ordered
396,396,47,11-06-2023,Investigation,Acquitted
397,397,11,08-03-2022,Trial,
398,398,43,01-08-2023,Transferred,
399,399,63,22-02-2021,Investigation,Probation
400,400,5,16-06-2024,Pending,Parole
401,401,39,04-06-2024,Appeal,Parole
402,402,46,19-01-2025,Convicted,Life Imprisonment
403,403,47,22-09-2021,Transferred,
404,404,33,25-09-2023,Trial,Suspended Sentence
405,405,36,29-06-2021,Suspended,Bail Granted
406,406,15,05-11-2023,Convicted,Pending
407,407,15,22-02-2023,Transferred,Community Service
408,408,60,28-01-2021,Suspended,Case Dismissed
409,409,15,09-10-2022,Suspended,Probation
410,410,10,12-03-2021,Pending,Pending
411,411,41,27-02-2022,Transferred,Compensation Ordered
412,412,19,15-11-2024,Suspended,
413,413,17,21-05-2024,Convicted,Community Service
414,414,27,06-08-2021,Transferred,Guilty
415,415,5,04-06-2025,Suspended,
416,416,14,06-04-2025,Acquitted,Probation
417,417,65,26-02-2025,Appeal,Bail Granted
418,418,30,14-03-2024,Trial,Parole
419,419,49,26-12-2023,Investigation,Parole
420,420,52,29-09-2025,Trial,Pending
421,421,61,22-11-2023,Appeal,Guilty
422,422,48,06-01-2025,Suspended,Fine Imposed
423,423,37,08-11-2023,Pending,Pending
424,424,55,23-07-2023,Acquitted,
425,425,14,17-05-2025,Suspended,Probation
426,426,25,05-05-2021,Trial,Probation
427,427,36,19-03-2023,Transferred,Death Sentence
428,428,41,15-12-2024,Acquitted,
429,429,13,21-02-2021,Trial,Bail Granted
430,430,72,24-10-2023,Convicted,Compensation Ordered
431,431,22,18-09-2023,Closed,Life Imprisonment
432,432,68,16-01-2024,Acquitted,Suspended Sentence
433,433,7,12-01-2025,Pending,Pending
434,434,19,16-08-2024,Convicted,Suspended Sentence
435,435,16,27-12-2022,Transferred,
436,436,43,13-09-2023,Acquitted,Bail Granted
437,437,29,27-02-2023,Trial,Fine Imposed
438,438,45,29-12-2024,Acquitted,Bail Granted
439,439,25,09-12-2024,Pending,Fine Imposed
440,440,24,29-09-2023,Convicted,Pending
441,441,60,09-11-2023,Appeal,
442,442,74,15-01-2023,Transferred,Death Sentence
443,443,32,13-12-2021,Pending,Fine Imposed
444,444,47,17-05-2025,Suspended,Suspended Sentence
445,445,3,11-05-2024,Appeal,Fine Imposed
446,446,8,27-03-2025,Acquitted,Acquitted
447,447,56,19-12-2024,Transferred,
448,448,49,21-06-2024,Trial,Death Sentence
449,449,18,11-07-2024,Transferred,Case Dismissed
450,450,32,13-04-2024,Convicted,Guilty
451,451,64,20-01-2025,Appeal,Death Sentence
452,452,70,19-04-2023,Investigation,Probation
453,453,33,23-03-2024,Appeal,Probation
454,454,69,20-05-2024,Investigation,
455,455,29,21-01-2025,Suspended,
456,456,66,27-06-2025,Transferred,Case Dismissed
457,457,27,16-11-2023,Suspended,Compensation Ordered
458,458,51,16-09-2023,Appeal,
459,459,72,04-12-2021,Closed,Community Service
460,460,54,07-05-2025,Convicted,Community Service
461,461,34,20-08-2024,Convicted,Compensation Ordered
462,462,6,24-07-2023,Suspended,Bail Granted
463,463,55,01-08-2023,Convicted,
464,464,3,05-01-2025,Closed,
465,465,18,05-03-2024,Closed,Life Imprisonment
466,466,19,01-02-2025,Suspended,Bail Granted
467,467,63,23-08-2025,Convicted,Community Service
468,468,58,05-01-2023,Trial,Suspended Sentence
469,469,51,07-05-2023,Convicted,
470,470,6,20-07-2022,Trial,
471,471,54,06-08-2024,Convicted,Death Sentence
472,472,12,27-05-2023,Suspended,
473,473,35,08-01-2022,Acquitted,Fine Imposed
474,474,67,27-09-2022,Trial,Case Dismissed
475,475,68,22-07-2024,Convicted,Case Dismissed
476,476,20,25-04-2023,Closed,Pending
477,477,42,14-05-2025,Appeal,
478,478,74,19-04-2023,Trial,Compensation Ordered
479,479,34,22-09-2023,Appeal,
480,480,16,27-05-2022,Closed,Fine Imposed
481,481,71,19-01-2024,Transferred,
482,482,19,30-01-2024,Suspended,Case Dismissed
483,483,57,01-08-2024,Convicted,Suspended Sentence
484,484,24,17-01-2023,Pending,Community Service
485,485,55,29-11-2024,Pending,Parole
486,486,69,29-09-2025,Pending,Bail Granted
487,487,50,21-03-2023,Closed,Case Dismissed
488,488,5,04-04-2024,Investigation,Suspended Sentence
489,489,15,30-11-2024,Closed,Bail Granted
490,490,60,07-11-2023,Convicted,Pending
491,491,44,18-01-2021,Closed,Probation
492,492,22,03-08-2022,Appeal,Pending
493,493,17,12-01-2023,Transferred,
494,494,69,08-03-2025,Trial,Acquitted
495,495,51,04-06-2022,Convicted,Fine Imposed
496,496,44,20-06-2025,Trial,Acquitted
497,497,26,09-08-2023,Pending,Bail Granted
498,498,67,25-06-2024,Appeal,Case Dismissed
499,499,61,29-06-2025,Acquitted,
500,500,29,13-11-2021,Investigation,Life Imprisonment
501,501,29,02-11-2024,Closed,Probation
502,502,39,20-05-2021,Transferred,Case Dismissed
503,503,26,12-04-2022,Transferred,Fine Imposed
504,504,60,13-04-2023,Closed,Compensation Ordered
505,505,70,09-02-2021,Investigation,Parole
506,506,2,15-04-2025,Suspended,Life Imprisonment
507,507,11,26-05-2024,Appeal,Compensation Ordered
508,508,12,20-07-2025,Transferred,Acquitted
509,509,35,04-10-2021,Acquitted,Acquitted
510,510,29,24-11-2023,Transferred,Parole
511,511,49,14-10-2024,Appeal,Guilty
512,512,52,01-06-2023,Trial,Life Imprisonment
513,513,45,12-04-2023,Investigation,Bail Granted
514,514,61,21-09-2023,Investigation,Acquitted
515,515,42,17-04-2023,Pending,Bail Granted
516,516,65,22-09-2024,Transferred,Death Sentence
517,517,35,11-07-2023,Suspended,Probation
518,518,64,13-11-2024,Trial,
519,519,52,31-03-2025,Trial,Acquitted
520,520,58,22-04-2023,Investigation,Bail Granted
521,521,70,07-12-2023,Transferred,Pending
522,522,72,17-11-2022,Pending,Bail Granted
523,523,48,03-06-2025,Transferred,
524,524,64,19-03-2025,Trial,Community Service
525,525,68,19-07-2022,Acquitted,Bail Granted
526,526,28,24-12-2024,Pending,
527,527,54,11-06-2025,Acquitted,Fine Imposed
528,528,58,02-06-2025,Suspended,
529,529,8,27-12-2024,Pending,Pending
530,530,38,03-07-2023,Closed,Probation
531,531,25,16-07-2024,Acquitted,
532,532,75,01-03-2023,Pending,
533,533,69,30-10-2023,Convicted,Fine Imposed
534,534,49,15-11-2024,Convicted,Fine Imposed
535,535,1,14-12-2023,Convicted,Probation
536,536,5,15-04-2025,Appeal,Acquitted
537,537,18,20-06-2024,Acquitted,Guilty
538,538,53,08-01-2024,Investigation,Compensation Ordered
539,539,43,22-09-2023,Pending,Compensation Ordered
540,540,19,05-12-2022,Closed,
541,541,63,04-03-2025,Transferred,Pending
542,542,5,24-12-2024,Trial,
543,543,38,14-11-2024,Convicted,Probation
544,544,72,17-12-2021,Investigation,
545,545,22,16-06-2025,Acquitted,
546,546,66,03-10-2025,Acquitted,
547,547,74,31-10-2023,Appeal,
548,548,41,04-05-2021,Closed,Acquitted
549,549,62,25-12-2022,Trial,Guilty
550,550,70,30-12-2022,Suspended,
551,551,25,02-02-2025,Transferred,Parole
552,552,73,06-05-2023,Trial,Acquitted
553,553,27,09-08-2025,Pending,
554,554,61,20-02-2024,Acquitted,
555,555,31,16-12-2022,Closed,
556,556,75,14-01-2024,Transferred,Compensation Ordered
557,557,20,09-04-2024,Pending,Case Dismissed
558,558,67,11-09-2025,Closed,Parole
559,559,70,21-03-2024,Convicted,Fine Imposed
560,560,13,04-12-2023,Transferred,
561,561,66,09-03-2025,Transferred,Life Imprisonment
562,562,31,06-03-2021,Closed,Fine Imposed
563,563,54,27-02-2023,Appeal,
564,564,18,24-08-2024,Closed,Pending
565,565,49,09-07-2025,Convicted,Parole
566,566,59,26-06-2023,Suspended,Probation
567,567,74,14-09-2024,Acquitted,Guilty
568,568,65,01-05-2024,Transferred,Acquitted
569,569,44,23-01-2023,Appeal,Life Imprisonment
570,570,58,09-07-2024,Convicted,Case Dismissed
571,571,3,11-02-2024,Pending,
572,572,22,12-05-2025,Transferred,Compensation Ordered
573,573,46,28-06-2023,Acquitted,
574,574,60,05-09-2024,Suspended,Acquitted
575,575,27,08-03-2023,Transferred,
576,576,42,05-06-2023,Acquitted,Death Sentence
577,577,52,01-02-2025,Suspended,Pending
578,578,23,02-02-2022,Trial,Acquitted
579,579,71,02-03-2023,Closed,Guilty
580,580,19,30-03-2023,Suspended,
581,581,52,11-08-2025,Acquitted,Death Sentence
582,582,19,06-10-2024,Trial,Case Dismissed
583,583,41,27-08-2023,Trial,Acquitted
584,584,9,21-10-2024,Pending,Pending
585,585,5,25-07-2021,Pending,
586,586,75,08-01-2023,Transferred,Guilty
587,587,12,10-02-2024,Suspended,Bail Granted
588,588,58,17-01-2024,Acquitted,Probation
589,589,17,15-10-2022,Closed,
590,590,27,26-09-2025,Pending,Pending
591,591,22,26-12-2022,Convicted,Guilty
592,592,44,03-02-2024,Pending,Community Service
593,593,39,19-10-2021,Suspended,Suspended Sentence
594,594,25,25-05-2025,Pending,Bail Granted
595,595,47,12-12-2023,Pending,
596,596,4,05-03-2021,Investigation,
597,597,60,06-10-2023,Suspended,
598,598,39,07-08-2022,Convicted,Community Service
599,599,73,19-02-2025,Pending,Parole
600,600,22,21-01-2021,Suspended,Bail Granted
601,601,43,29-12-2024,Suspended,Parole
602,602,40,25-05-2023,Trial,Guilty
603,603,63,01-12-2024,Investigation,
604,604,36,02-03-2024,Investigation,Suspended Sentence
605,605,36,19-06-2025,Suspended,Case Dismissed
606,606,11,25-03-2025,Acquitted,Suspended Sentence
607,607,11,16-12-2024,Pending,Death Sentence
608,608,56,05-03-2025,Trial,Parole
609,609,10,13-04-2025,Appeal,Bail Granted
610,610,14,20-12-2023,Appeal,Community Service
