fir_id,station_id,date_registered,crime_type,incident_location,status,details
31,111,2025-03-16 12:20:18,Honor Killing,"5, Andheri, Visakhapatnam - 871630",Closed - Final Report,"Vehicle theft case with registration number MH-98-AD-5547, CCTV footage available."
32,129,2023-03-06 14:35:42,Robbery,"375, Saket, Chennai - 351408",Closed - Untraced,Robbery incident reported with 5 suspects involved using weapons.
33,99,2024-08-17 11:08:26,Cyber Crime,"323, Rajajinagar, Delhi - 561864",Registered,Human trafficking case involving 18 victims rescued from illegal operations.
34,75,2023-11-02 10:59:43,Piracy,"597, New Town, Jodhpur - 672694",Closed - Untraced,Cyberstalking case with digital evidence including 6 pieces of documentation.
35,99,2024-08-22 21:22:04,Bribery,"90, Janakpuri, Srinagar - 891979",Charge Sheet Filed,Human trafficking case involving 6 victims rescued from illegal operations.
36,69,2024-03-04 10:33:41,Assault,"686, BTM Layout, Bhubaneswar - 616438",Charge Sheet Filed,"Vehicle theft case with registration number TN-21-AD-5542, CCTV footage available."
37,111,2024-02-27 04:51:09,Drug Trafficking,"868, Sohna Road, Vadodara - 911368",Charge Sheet Filed,Robbery incident reported with 2 suspects involved using weapons.
38,143,2023-01-04 17:38:56,Child Abuse,"258, Commercial Street, Coimbatore - 905364",Under Investigation,Land grabbing case involving 94 acres of disputed property.
39,4,2022-11-13 10:32:34,Piracy,"623, Howrah, Mumbai - 445716",Closed - Final Report,"Insurance fraud case with fraudulent claims worth Rs. 360,648."
40,142,2021-01-30 22:46:57,Burglary,"348, Thane, Udaipur - 332109",Under Investigation,"Insurance fraud case with fraudulent claims worth Rs. 3,634,859."
41,106,2024-06-19 13:01:56,Drug Trafficking,"984, Golf Course Road, Chennai - 268573",Under Investigation,Cyberstalking case with digital evidence including 41 pieces of documentation.
42,49,2023-08-28 01:29:52,Forgery,"637, Rohini, Shimla - 921477",Under Investigation,"Tax evasion case with undisclosed income of Rs. 2,703,008 detected."
43,67,2024-11-01 13:43:22,Land Grabbing,"733, Esplanade, Ahmedabad - 895883",Charge Sheet Filed,"Corruption case against public official, bribe amount Rs. 2,983,114 involved."
44,15,2025-07-29 18:43:48,Tax Evasion,"298, MG Road Gurgaon, Pune - 517266",Under Investigation,Human trafficking case involving 5 victims rescued from illegal operations.
45,121,2021-07-11 23:35:58,Land Grabbing,"395, MG Road, Pune - 295402",Charge Sheet Filed,"Fraud case involving fake documents and financial transactions worth Rs. 1,835,111."
46,130,2024-07-29 16:12:36,Cheating,"320, Sealdah, Bangalore - 643245",Pending Investigation,Human trafficking case involving 19 victims rescued from illegal operations.
47,32,2022-11-07 13:39:24,Bribery,"391, Cyber City, Indore - 286416",Under Investigation,"Counterfeiting case with fake currency notes worth Rs. 3,489,484 seized."
48,45,2024-01-22 08:07:34,Rape,"628, Velachery, Ranchi - 837902",Under Investigation,"Money laundering investigation with suspicious transactions totaling Rs. 3,955,158."
49,7,2024-06-04 11:55:58,Assault,"137, Velachery, Surat - 792627",Closed - Untraced,Drug trafficking case with 83 kg of contraband substances recovered.
50,19,2023-12-25 05:15:47,Cyberstalking,"127, Salt Lake, Chandigarh - 552129",Closed - Final Report,Cyberstalking case with digital evidence including 35 pieces of documentation.
51,35,2023-04-24 02:42:55,Burglary,"303, Koramangala, Shimla - 341657",Closed - Untraced,"Burglary at commercial establishment during night hours, property worth Rs. 2,081,144 stolen."
52,122,2024-09-14 20:14:12,Hacking,"955, Church Street, Lucknow - 239724",Under Investigation,"Cyber crime involving online fraud and identity theft, 4,971,633 transferred illegally."
53,47,2024-03-06 11:28:43,Human Trafficking,"50, Hennur, Pune - 790351",Closed - Untraced,"Insurance fraud case with fraudulent claims worth Rs. 2,897,987."
54,59,2024-12-26 22:49:34,Land Grabbing,"556, New Town, Guwahati - 412196",Pending Investigation,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 2,403,790."
55,122,2024-11-30 18:44:46,Cheating,"699, Laxmi Nagar, Nagpur - 651787",Under Investigation,"Chain snatching incident in busy market area during peak hours, 7 witnesses present."
56,122,2024-05-22 13:47:28,Honor Killing,"464, Pitampura, Gwalior - 931633",Registered,"Insurance fraud case with fraudulent claims worth Rs. 4,787,368."
57,75,2024-08-08 18:08:45,Murder,"118, T Nagar, Shimla - 451605",Closed - Final Report,Environmental crime case involving illegal dumping of 36 tons of waste.
58,125,2023-07-15 12:43:12,Illegal Construction,"938, OMR, Srinagar - 497487",Under Investigation,Drug trafficking case with 62 kg of contraband substances recovered.
59,40,2021-02-22 00:02:35,Online Harassment,"661, Rajajinagar, Delhi - 927321",Registered,"Fraud case involving fake documents and financial transactions worth Rs. 2,153,478."
60,126,2024-09-02 03:16:55,Piracy,"786, Tambaram, Bangalore - 692511",Closed - Final Report,"Corruption case against public official, bribe amount Rs. 3,745,487 involved."
61,124,2021-07-13 05:42:11,Property Dispute,"879, Sohna Road, Jabalpur - 407231",Closed - Final Report,"Tax evasion case with undisclosed income of Rs. 3,315,761 detected."
62,32,2023-08-21 23:21:04,Vehicle Theft,"669, JP Nagar, Vadodara - 315663",Pending Investigation,"Money laundering investigation with suspicious transactions totaling Rs. 1,956,272."
63,34,2024-08-22 17:54:30,Money Laundering,"50, JP Nagar, Gwalior - 172980",Registered,Drug trafficking case with 62 kg of contraband substances recovered.
64,47,2020-11-06 13:05:42,Counterfeiting,"611, Electronic City, Kochi - 983288",Under Investigation,"Corruption case against public official, bribe amount Rs. 3,307,029 involved."
65,44,2024-01-21 11:24:27,Illegal Construction,"673, ECR, Patna - 920652",Closed - Final Report,Robbery incident reported with 3 suspects involved using weapons.
66,98,2024-07-23 23:00:30,Smuggling,"778, Indiranagar, Ajmer - 158078",Closed - Final Report,Arms trafficking case with recovery of 50 illegal firearms and ammunition.
67,19,2024-11-20 02:16:39,Cyberstalking,"655, OMR, Ranchi - 314549",Closed - Final Report,"Corruption case against public official, bribe amount Rs. 1,994,200 involved."
68,149,2020-11-15 18:20:04,Acid Attack,"620, New Town, Meerut - 512352",Charge Sheet Filed,"Cyber crime involving online fraud and identity theft, 148,494 transferred illegally."
69,20,2023-01-30 14:32:29,Hacking,"989, ECR, Udaipur - 987993",Closed - Final Report,Robbery incident reported with 8 suspects involved using weapons.
70,122,2024-02-23 19:26:23,Extortion,"495, Ballygunge, Raipur - 271116",Closed - Untraced,"Money laundering investigation with suspicious transactions totaling Rs. 4,881,641."
71,133,2022-12-21 15:05:11,Cyberstalking,"602, Park Street, Ranchi - 502843",Closed - Untraced,"Counterfeiting case with fake currency notes worth Rs. 816,137 seized."
72,56,2023-05-09 06:08:25,Illegal Construction,"586, HSR Layout, Kochi - 954979",Under Investigation,Cyberstalking case with digital evidence including 10 pieces of documentation.
73,35,2023-02-22 16:17:11,Cyberstalking,"641, MG Road Gurgaon, Kalyan-Dombivali - 166191",Closed - Final Report,"Tax evasion case with undisclosed income of Rs. 2,972,801 detected."
74,57,2024-10-16 04:44:34,Money Laundering,"570, Dwarka, Gwalior - 127087",Charge Sheet Filed,"Cyber crime involving online fraud and identity theft, 58,167 transferred illegally."
75,113,2025-07-22 03:23:46,Chain Snatching,"360, ECR, Ranchi - 780441",Charge Sheet Filed,Drug trafficking case with 53 kg of contraband substances recovered.
76,83,2023-08-12 16:15:06,Phishing,"11, Ballygunge, Ahmedabad - 677376",Under Investigation,Robbery incident reported with 6 suspects involved using weapons.
77,87,2022-10-31 10:33:00,Fraud,"2, Saket, Jabalpur - 683070",Closed - Final Report,Cyberstalking case with digital evidence including 33 pieces of documentation.
78,141,2021-10-27 06:53:24,Acid Attack,"303, Thane, Meerut - 354004",Pending Investigation,"Chain snatching incident in busy market area during peak hours, 4 witnesses present."
79,111,2021-03-30 16:07:39,Murder,"354, Koramangala, Nagpur - 329195",Charge Sheet Filed,Drug trafficking case with 42 kg of contraband substances recovered.
80,75,2022-10-14 08:30:08,Phishing,"427, Whitefield, Bhubaneswar - 601431",Closed - Final Report,"Tax evasion case with undisclosed income of Rs. 3,592,501 detected."
81,147,2024-07-17 18:07:38,Smuggling,"96, Karol Bagh, Nashik - 608234",Closed - Final Report,"Chain snatching incident in busy market area during peak hours, 9 witnesses present."
82,130,2024-09-15 20:55:23,Bank Fraud,"120, Commercial Street, Ahmedabad - 938640",Closed - Final Report,"Counterfeiting case with fake currency notes worth Rs. 4,499,751 seized."
83,47,2024-03-03 15:30:30,Forgery,"243, Karol Bagh, Raipur - 265477",Registered,"Domestic violence incident reported by victim's family, ongoing harassment documented."
84,145,2022-01-30 10:23:31,Piracy,"892, DLF Phase, Dehradun - 989553",Pending Investigation,"Domestic violence incident reported by victim's family, ongoing harassment documented."
85,90,2025-03-22 07:24:20,Smuggling,"374, Church Street, Bangalore - 438187",Closed - Final Report,"Tax evasion case with undisclosed income of Rs. 573,355 detected."
86,49,2024-02-24 01:49:48,Identity Theft,"345, Commercial Street, Indore - 489923",Pending Investigation,Human trafficking case involving 17 victims rescued from illegal operations.
87,31,2022-10-07 16:31:35,Land Grabbing,"783, Golf Course Road, Faridabad - 763638",Charge Sheet Filed,"Insurance fraud case with fraudulent claims worth Rs. 4,640,767."
88,57,2025-08-27 23:15:55,Credit Card Fraud,"866, Thane, Ghaziabad - 128548",Closed - Untraced,Arms trafficking case with recovery of 83 illegal firearms and ammunition.
89,12,2023-07-21 19:25:10,Sedition,"917, Adyar, Ajmer - 128524",Closed - Final Report,"Assault case filed with medical evidence submitted, victim hospitalized for 20 days."
90,89,2024-02-05 00:21:39,Rioting,"687, Indiranagar, Ajmer - 468291",Charge Sheet Filed,Arms trafficking case with recovery of 36 illegal firearms and ammunition.
91,142,2022-12-16 16:42:32,Rioting,"8, Dwarka, Meerut - 846419",Under Investigation,"Cyber crime involving online fraud and identity theft, 4,628,938 transferred illegally."
92,134,2024-11-04 01:49:29,Hacking,"715, Whitefield, Rajkot - 186058",Pending Investigation,Robbery incident reported with 6 suspects involved using weapons.
93,63,2022-12-03 05:30:55,Environmental Crime,"960, Bandra, Visakhapatnam - 571645",Closed - Untraced,Land grabbing case involving 31 acres of disputed property.
94,1,2021-12-17 22:12:36,Theft,"849, Pitampura, Kalyan-Dombivali - 656474",Pending Investigation,Robbery incident reported with 6 suspects involved using weapons.
95,51,2025-02-24 10:42:26,Theft,"957, Borivali, Kochi - 604102",Under Investigation,Human trafficking case involving 11 victims rescued from illegal operations.
96,114,2023-07-01 11:00:18,Theft,"184, Bandra, Jodhpur - 965160",Closed - Final Report,Land grabbing case involving 44 acres of disputed property.
97,125,2024-10-12 15:40:09,Theft,"540, Whitefield, Lucknow - 402127",Registered,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 2,411,309."
98,31,2023-05-29 02:21:40,Bribery,"645, Thane, Noida - 193672",Pending Investigation,Drug trafficking case with 6 kg of contraband substances recovered.
99,78,2023-07-16 04:40:30,Assault,"416, Howrah, Jammu - 753232",Closed - Final Report,Robbery incident reported with 4 suspects involved using weapons.
100,130,2022-09-01 07:50:41,Tax Evasion,"217, Saket, Bhopal - 523048",Under Investigation,Arms trafficking case with recovery of 96 illegal firearms and ammunition.
101,135,2024-02-01 11:04:50,Phishing,"792, Church Street, Jabalpur - 800326",Pending Investigation,"Burglary at commercial establishment during night hours, property worth Rs. 2,292,934 stolen."
102,11,2024-03-22 11:13:37,Online Harassment,"562, Whitefield, Ludhiana - 835551",Closed - Final Report,Land grabbing case involving 74 acres of disputed property.
103,97,2025-03-21 01:36:37,Illegal Construction,"968, Karol Bagh, Bhopal - 177088",Charge Sheet Filed,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 4,959,162."
104,76,2023-05-17 21:11:35,Fraud,"374, Jayanagar, Pune - 499531",Under Investigation,"Money laundering investigation with suspicious transactions totaling Rs. 2,200,341."
105,28,2025-01-08 18:32:28,Tax Evasion,"177, Porur, Kanpur - 924844",Closed - Untraced,Human trafficking case involving 18 victims rescued from illegal operations.
106,145,2025-04-18 03:29:57,Dowry Death,"668, RT Nagar, Kolkata - 895287",Under Investigation,Arms trafficking case with recovery of 99 illegal firearms and ammunition.
107,107,2024-04-01 08:49:06,Bribery,"190, Connaught Place, Vadodara - 397722",Under Investigation,"Insurance fraud case with fraudulent claims worth Rs. 1,213,214."
108,119,2024-03-10 19:32:31,Credit Card Fraud,"139, Whitefield, Ranchi - 298549",Closed - Untraced,"Cyber crime involving online fraud and identity theft, 3,736,587 transferred illegally."
109,1,2025-06-28 09:42:43,Cyber Crime,"319, Connaught Place, Vadodara - 985898",Under Investigation,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 1,439,057."
110,99,2023-11-15 04:52:27,Data Breach,"157, New Town, Kolkata - 317917",Closed - Untraced,"Burglary at commercial establishment during night hours, property worth Rs. 1,040,800 stolen."
111,93,2025-06-18 10:00:23,Tax Evasion,"925, Vasant Kunj, Guwahati - 769634",Registered,"Insurance fraud case with fraudulent claims worth Rs. 2,307,391."
112,49,2022-12-12 22:42:11,Child Abuse,"634, JP Nagar, Trivandrum - 655219",Registered,"Chain snatching incident in busy market area during peak hours, 3 witnesses present."
113,110,2025-03-14 19:21:58,Illegal Construction,"813, Rohini, Ahmedabad - 708839",Closed - Final Report,Drug trafficking case with 78 kg of contraband substances recovered.
114,52,2024-09-15 20:56:31,Extortion,"888, New Town, Kota - 886711",Charge Sheet Filed,Cyberstalking case with digital evidence including 33 pieces of documentation.
115,129,2023-10-24 01:12:04,Tax Evasion,"127, Esplanade, Udaipur - 845791",Pending Investigation,"Fraud case involving fake documents and financial transactions worth Rs. 4,067,262."
116,57,2023-05-03 20:20:50,Child Abuse,"964, Sealdah, Kota - 200492",Closed - Untraced,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 894,160."
117,31,2021-05-22 16:33:53,Cyberstalking,"756, Park Street, Bhubaneswar - 775756",Under Investigation,"Cyber crime involving online fraud and identity theft, 613,666 transferred illegally."
118,67,2021-08-28 18:51:05,Assault,"690, Thane, Noida - 112911",Closed - Untraced,Cyberstalking case with digital evidence including 31 pieces of documentation.
119,45,2021-08-21 15:35:40,Terrorism,"135, Banashankari, Meerut - 209855",Closed - Final Report,Land grabbing case involving 9 acres of disputed property.
120,16,2022-12-13 02:20:55,Property Dispute,"865, Cyber City, Srinagar - 620534",Closed - Final Report,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 3,320,847."
121,48,2021-12-13 16:25:26,Bribery,"51, Vasant Kunj, Bhopal - 539089",Closed - Untraced,"Assault case filed with medical evidence submitted, victim hospitalized for 30 days."
122,135,2025-04-22 02:59:17,Phishing,"203, Laxmi Nagar, Delhi - 304484",Closed - Untraced,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 1,310,685."
123,46,2021-07-25 15:18:32,Money Laundering,"915, MG Road Gurgaon, Coimbatore - 753999",Closed - Untraced,Land grabbing case involving 23 acres of disputed property.
124,40,2023-12-05 05:08:36,Insurance Fraud,"687, Sohna Road, Nagpur - 908300",Under Investigation,"Burglary at commercial establishment during night hours, property worth Rs. 321,826 stolen."
125,22,2025-01-06 09:23:38,Forgery,"466, Vasant Kunj, Hyderabad - 160221",Charge Sheet Filed,"Tax evasion case with undisclosed income of Rs. 1,467,098 detected."
126,93,2022-08-03 11:41:01,Forgery,"852, Park Street, Meerut - 670588",Pending Investigation,Land grabbing case involving 15 acres of disputed property.
127,114,2023-04-19 20:56:04,Dowry Death,"785, Powai, Srinagar - 840938",Closed - Untraced,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 2,381,903."
128,13,2025-01-14 00:05:56,Sedition,"694, HSR Layout, Bhopal - 442755",Pending Investigation,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 3,657,189."
129,99,2024-01-14 07:07:24,Fraud,"300, Jayanagar, Shimla - 263750",Pending Investigation,"Fraud case involving fake documents and financial transactions worth Rs. 75,444."
130,65,2023-05-20 19:42:40,Counterfeiting,"371, Whitefield, Shimla - 177179",Closed - Untraced,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 57,644."
131,94,2023-04-03 15:51:27,Cheating,"371, Marathahalli, Vadodara - 214743",Pending Investigation,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 1,268,898."
132,109,2024-06-01 18:10:12,Bribery,"905, Karol Bagh, Coimbatore - 565353",Under Investigation,"Assault case filed with medical evidence submitted, victim hospitalized for 2 days."
133,127,2022-07-08 19:54:53,Land Grabbing,"711, OMR, Ujjain - 905762",Under Investigation,"Vehicle theft case with registration number GJ-69-AA-7570, CCTV footage available."
134,123,2021-08-27 03:05:04,Criminal Breach of Trust,"167, Adyar, Vadodara - 221645",Pending Investigation,Drug trafficking case with 87 kg of contraband substances recovered.
135,121,2021-07-04 02:36:57,Robbery,"699, Dadar, Thane - 726117",Under Investigation,Drug trafficking case with 33 kg of contraband substances recovered.
136,24,2021-11-23 02:29:01,Corruption,"107, JP Nagar, Jabalpur - 138558",Registered,"Fraud case involving fake documents and financial transactions worth Rs. 1,064,636."
137,8,2021-08-28 15:37:24,Arms Trafficking,"978, New Town, Noida - 372136",Registered,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 543,946."
138,75,2025-02-15 08:13:17,Phishing,"706, Marathahalli, Nashik - 792892",Closed - Final Report,"Assault case filed with medical evidence submitted, victim hospitalized for 29 days."
139,33,2023-02-11 20:27:57,Gambling,"130, Velachery, Chennai - 935290",Registered,Cyberstalking case with digital evidence including 44 pieces of documentation.
140,61,2025-02-18 12:20:09,Murder,"866, Tambaram, Trivandrum - 400548",Charge Sheet Filed,"Burglary at commercial establishment during night hours, property worth Rs. 2,734,215 stolen."
141,83,2024-05-18 03:06:44,Rape,"488, Ballygunge, Jabalpur - 209289",Pending Investigation,Drug trafficking case with 70 kg of contraband substances recovered.
142,124,2024-07-25 14:47:24,Burglary,"115, Saket, Chandigarh - 338469",Registered,"Burglary at commercial establishment during night hours, property worth Rs. 903,200 stolen."
143,69,2024-11-05 20:53:41,Terrorism,"481, Commercial Street, Noida - 895929",Closed - Untraced,Arms trafficking case with recovery of 47 illegal firearms and ammunition.
144,124,2024-07-22 01:16:00,Counterfeiting,"220, Janakpuri, Delhi - 186620",Closed - Final Report,"Fraud case involving fake documents and financial transactions worth Rs. 4,358,147."
145,145,2024-10-01 01:38:22,Property Dispute,"944, Nehru Place, Lucknow - 626585",Registered,"Insurance fraud case with fraudulent claims worth Rs. 2,248,930."
146,45,2025-02-25 20:06:05,Terrorism,"355, Howrah, Ludhiana - 136946",Closed - Final Report,"Corruption case against public official, bribe amount Rs. 1,498,992 involved."
147,52,2023-06-15 04:42:52,Cyber Crime,"472, Ballygunge, Srinagar - 448376",Closed - Untraced,"Domestic violence incident reported by victim's family, ongoing harassment documented."
148,36,2023-12-19 16:54:22,Phishing,"914, Connaught Place, Ahmedabad - 545245",Pending Investigation,Environmental crime case involving illegal dumping of 91 tons of waste.
149,52,2025-07-10 07:44:31,Criminal Breach of Trust,"185, Park Street, Pune - 809083",Under Investigation,"Domestic violence incident reported by victim's family, ongoing harassment documented."
150,131,2024-05-17 04:21:03,Child Abuse,"338, Nehru Place, Jaipur - 795300",Under Investigation,"Chain snatching incident in busy market area during peak hours, 8 witnesses present."
151,58,2023-10-15 15:13:29,Piracy,"357, Lajpat Nagar, Lucknow - 333337",Closed - Untraced,"Fraud case involving fake documents and financial transactions worth Rs. 3,552,303."
152,19,2023-12-05 01:06:01,Property Dispute,"337, HSR Layout, Kalyan-Dombivali - 902102",Closed - Final Report,Robbery incident reported with 8 suspects involved using weapons.
153,27,2023-07-19 23:08:11,Dowry Death,"877, Hennur, Bangalore - 684808",Charge Sheet Filed,"Chain snatching incident in busy market area during peak hours, 10 witnesses present."
154,135,2022-05-05 14:33:13,Property Dispute,"633, Hennur, Ahmedabad - 336131",Registered,Cyberstalking case with digital evidence including 18 pieces of documentation.
155,18,2024-01-24 02:59:28,Wildlife Crime,"309, Brigade Road, Udaipur - 727645",Closed - Untraced,Land grabbing case involving 16 acres of disputed property.
156,25,2023-12-08 14:03:42,Criminal Breach of Trust,"589, Brigade Road, Thane - 277263",Under Investigation,Human trafficking case involving 12 victims rescued from illegal operations.
157,130,2023-11-29 08:35:46,Fraud,"684, Rajajinagar, Guwahati - 128767",Closed - Final Report,Land grabbing case involving 63 acres of disputed property.
158,124,2023-09-11 10:32:31,Hacking,"363, RT Nagar, Madurai - 173559",Under Investigation,Cyberstalking case with digital evidence including 31 pieces of documentation.
159,127,2025-01-06 06:48:57,Dowry Death,"93, Malleswaram, Jammu - 927083",Registered,Cyberstalking case with digital evidence including 18 pieces of documentation.
160,30,2021-06-25 21:03:14,Land Grabbing,"505, Cyber City, Chennai - 589174",Registered,"Cyber crime involving online fraud and identity theft, 4,083,889 transferred illegally."
161,4,2024-11-04 16:08:02,Property Dispute,"148, ECR, Pune - 510155",Pending Investigation,"Burglary at commercial establishment during night hours, property worth Rs. 3,774,521 stolen."
162,83,2025-02-22 10:53:08,Counterfeiting,"677, Sector 18, Delhi - 451576",Closed - Final Report,"Chain snatching incident in busy market area during peak hours, 1 witnesses present."
163,89,2022-11-22 07:20:44,Cyberstalking,"329, Koramangala, Dehradun - 203512",Closed - Untraced,"Counterfeiting case with fake currency notes worth Rs. 3,486,337 seized."
164,138,2025-04-09 08:18:11,Theft,"994, Andheri, Vadodara - 158230",Closed - Final Report,Human trafficking case involving 6 victims rescued from illegal operations.
165,101,2024-07-15 19:47:38,Elder Abuse,"249, Electronic City, Delhi - 175031",Pending Investigation,"Burglary at commercial establishment during night hours, property worth Rs. 667,988 stolen."
166,66,2024-04-15 13:22:19,Environmental Crime,"264, Koramangala, Hyderabad - 114210",Registered,Drug trafficking case with 60 kg of contraband substances recovered.
167,76,2025-03-27 11:10:23,Identity Theft,"20, Church Street, Shimla - 709183",Closed - Untraced,"Domestic violence incident reported by victim's family, ongoing harassment documented."
168,121,2023-03-18 02:32:07,Extortion,"684, Esplanade, Pune - 931123",Charge Sheet Filed,Human trafficking case involving 20 victims rescued from illegal operations.
169,62,2022-11-20 14:55:53,Murder,"795, Dwarka, Vadodara - 174613",Closed - Final Report,Cyberstalking case with digital evidence including 45 pieces of documentation.
170,59,2023-08-23 22:15:07,Piracy,"470, Borivali, Kochi - 160724",Pending Investigation,Human trafficking case involving 19 victims rescued from illegal operations.
171,94,2025-08-06 19:57:48,Vehicle Theft,"258, Sohna Road, Nashik - 188078",Closed - Final Report,Land grabbing case involving 88 acres of disputed property.
172,72,2023-08-24 18:29:47,Online Harassment,"333, Nehru Place, Kolkata - 852443",Under Investigation,Drug trafficking case with 98 kg of contraband substances recovered.
173,61,2022-05-23 04:41:47,Gambling,"574, Velachery, Guwahati - 618345",Closed - Untraced,"Theft occurred at residential area involving mobile phone and cash amounting to Rs. 4,007,933."
174,116,2024-07-26 07:17:54,Domestic Violence,"360, Rajajinagar, Jammu - 204455",Closed - Untraced,Environmental crime case involving illegal dumping of 56 tons of waste.
